,chatID,personType,personID,createdAt,plainText,language
327,X4162973f40cr,user,P8613785be5bi,2021-01-05 15:50:34,알려주셔서 잘 활용했습니다. 감사합니다.,kor
332,H3560316f515p,user,Bcc18665a2c4u,2021-01-06 10:43:55,오늘 화면 공유 기능을 할 때마다 닫히는 것 같아요.,kor
352,T5351501f519i,user,Ia961697f2adl,2021-01-06 11:00:38,안녕하세요 아까 문의드렸는데 비디오로 찍어 보았습니다,kor
359,Sd942379f527a,user,M33454155490o,2021-01-06 11:59:06,안녕하세요? 교양 암벽등반 강의자 김인경입니다,kor
368,Sdf88577f52aw,user,I3080997a8f5s,2021-01-06 12:12:07,안녕하세요. 처음으로 챗봇 이용해 봅니다. 교양교육원 자유정의진리 다음 학기를 위해 교수자 코스를 준비하려고 합니다. [2020-2학기 자유정의진리 교수자 코스]를 그대로(사용자까지) 복사하여 [2021-1학기 자유정의 교수자 코스]를 미리 오픈할 수 있을지 문의드립니다.,kor
378,K7427719f56bf,user,Q52501914756x,2021-01-06 16:49:06,안녕하세요 질문이 있어서요,kor
390,S5958457f599k,user,F7464132f599d,2021-01-06 20:05:45,오...,kor
392,T6520179f665y,user,Zd229381f1e4l,2021-01-07 10:34:58,안녕하세요 국제 동계대학에서,kor
398,Y1891263f6afc,user,A09343444bb3e,2021-01-07 15:50:47,"수고가 많으십니다 콜라보레이트로 실시간 강의후 쉬는 시간에 강의 녹화를 중지하면 시스템이 먹통이 되어, 다시 나갔다와서 둘째시간 강의를 하고 또 녹화 중지를 하면 도다시 반복하는 불편함이 있습니다  쉬는 시간에도 계속 녹화 중지를 하지 안고 놔두면 정상적으로 작동합니다  학기중에는 이런 일이 전혀 없었는데 계절강의를 하는 때부터는 매일 이런일이 발생하고 있습니다",kor
409,E3654780f7ddh,user,Qf124811a8c7k,2021-01-08 13:20:55,"안녕하세요, 블랙보드 영상출석현황 툴에 대해 질문 드리고 싶습니다",kor
424,O5598910f9a4v,user,Sbc306354cacg,2021-01-09 21:42:50,"출석에 관하여 질문 드립니다.

영상을 보는 중에 이 창을 닫거나 새창을 열지 말라고 하던데, 원래 있던 창을 없애지 않아도 출석이 인정되나요? 그리고 영상을 보던중에 알림의 의해 새로운 창이 뜨면 출석인정에 문제가 되는지 궁금합니다.

마지막으로 모바일이 컴퓨터나 데스크탑보다 출석 체크가 오류없이 체크가 잘 되는지 알고 싶습니다.",kor
448,Qd227497fbadh,user,Pb036375a8d9x,2021-01-11 10:46:20,아이패드로 블랙보드 앱에서 콜라보레이트로 접속하면 자꾸 소리가 끊겨서 들립니다 ㅜㅜ 어떻게 해결할 수 있나요? 네트워크 문제는 없는 것 같습니다.,kor
450,C1956147fbb0j,user,Hb6754774b33z,2021-01-15 11:07:41,"안녕하세요, 학생 기말고사 성적이 여러번 제출된 것중에 하나만 남기다가 학생이 푼 거를 clear하고 하나도 안푼 마지막 제출본만 남아버린 것 같습니다ㅠㅠㅠ 이경우에 블랙보드 차원에서 다른 submission을 확인할 방법은 없는 건가요..?ㅜㅜ",kor
454,X6080554fbdfm,user,J7816183f412t,2021-01-11 14:17:45,교육 이수 다 했는데 시스템에 반영이 안됩니다.,kor
463,Zb043703fc1ax,user,R7c899574d83e,2021-01-11 18:28:59,유튜브로 강의 시청한 기록이 안 남아요,kor
469,P0741967fc35p,user,D6c95887fc35f,2021-01-11 20:25:56,블랙보드가 뭔가요?,kor
474,Da119379fc36z,user,W5e396243c8co,2021-01-11 20:28:23,야호 🥳,kor
477,Mf941285fd0cl,user,Q8539846faaee,2021-01-12 11:42:15,안녕하세요. 교내에서 이전까지 잘되던 구글 메일의 대용량 메일 다운로드가 되지 않습니다.,kor
480,R8d98079fd3dt,user,If556199a8c8j,2021-01-12 15:10:11,법정의무교육 관련해서 문제가 생겨서 연락드렸습니다,kor
498,Odb65975fd47l,user,Bcc18665a2c4u,2021-01-12 15:52:52,안녕하세요. 어제 칼투라 녹화본에서 1:03분 이후부터 목소리가 녹음이 되지 않았다고 합니다. 잘 기억은 안 나는데 종종 칼투라에게 튕김 현상이 있습니다. 마이크가 안 들린다고 해서 제가 설정을 다시 했다고 하는데 그 이후 소리 녹음이 안 된 것 같습니다.,kor
591,I9317795fda6x,user,S3e81064a918q,2021-01-12 22:37:05,성적 조회가 안됩니다,kor
596,Ddc21860fe91m,user,Bcc18665a2c4u,2021-01-13 15:20:02,안녕하세요. 오늘 열 시에 들어와 주셔서 감사합니다. 오늘 수업이 4시까지라서 칼투라도 한번 살펴봐 주실 수 있으신가요?,kor
617,X8661710ffc1q,user,Lfd57139ffc1h,2021-01-14 13:00:25,저 블랙보드 로그인이 안되는데요,kor
624,V9f68534ffe9s,user,Oe4253214c87u,2021-01-14 15:48:10,선생님 온라인 시험시 복수정답 문제를 낼때 보기가 4개인데 정답을 두개 설정해 놓으면 학생들이 시험볼때 4개에 모두 체크가능하더라고요. 정답 두개 만 체크할 수 있는 방법이 있나요 ?,kor
627,V9821209ffecm,user,Ud887532ffecr,2021-01-14 16:03:17,만약에 4개에 모두 체크한다면 자동으로 채점이 불가능하다는 것이 문제네요. 맞은 것으로 되는 경우가 있더라고요.,kor
637,K8366273fffbs,user,C0f49042e981a,2021-01-14 17:06:31,"안녕하세요, 제가 락다운 브라우저를 통해 시험보다가 줌이 꺼졌다가 켜졌다가를 반복하고 브라우저 실행이 상당히 더디게 되었습니다. 또한 제대로 마킹 후 제출하였는데도 제가 마킹한것과 다른 답이 마킹된 것을 확인하였습니다. 
이런 경우 이 상황을 증명할 수 있는 방법이 있나요?ㅠ",kor
640,T496236000f6s,user,Y4089492a8e2t,2021-01-15 10:57:59,온라인 시험관련하여 문의드립니다. 온라인 시험 문제 중 한 개의 문항에 대하여 학생들이 얼마나 맞았는지 통계를 알 수 있을까요? (조교입니다),kor
648,X557983600fdn,user,V4c66667430fg,2021-01-15 11:26:06,시험문제 출제중 기존 시험문항을 확인할 수 없나요?,kor
654,Ibb375300119k,user,Z3833315feffe,2021-01-15 13:28:30,Assinment tap 이 안떠요,kor
657,Vf882529015bn,user,Cf72524300f4r,2021-01-15 18:09:40,수업 링크는 어디서 보나요,kor
660,Mc3458850255u,user,P8312378a8ddz,2021-01-16 11:56:27,애플 테블릿에서 강의 참여가 안됩니다.,kor
662,Fb02914702e2o,user,M2877126fdb8r,2021-01-16 21:57:35,혹시 안들은 이전의 성평등 강의는 어떻게 들을 수 있나요?,kor
667,W545852903dac,user,S2d67050a8c7o,2021-01-17 15:33:44,조교로 등록되어있는 상태인데 학생들이 제출한 과제에 어떻게 접근할 수 있나요?,kor
670,G465193304f6v,user,O75471014cd9v,2021-01-18 11:44:43,"안녕하세요! 2020 법정의무 및 교내권장 교육에 관하여 질문 드립니다. 교육 코스를 보면 들어야 하는 교육이 4개라고 명시되어 있고, 블랙보드 법정의무 교육 튜토리얼 영상 예시에도 메인코스에 4개의 교육이 다 있더라고요. 그런데 제 코스에 들어가면 연구 윤리 교육이 뜨지 않아서 혹시 오류인지 여쭤보고 싶어서 연락 드리게 되었습니다! 구체적인 내용은 사진으로 첨부하겠습니다.",kor
677,U6b87153063eo,user,Zb881900063ej,2021-01-19 11:06:43,2020 인권과 성평등교육 메뉴가 없습니다.,kor
682,Tb5924970788v,user,Rbe8330748bbu,2021-01-20 10:32:54,"줌에 대해 여쭤볼 게 있습니다!
교수님께서 줌 녹화본을 올린 피피티와 교수님 얼굴만 나오게 저장을 하고 싶다고 하시는데, 채팅창은 나오지 않게 저장하고 싶대요(PC에). 그런데 제가 알기론 채팅창이 같이 저장되는걸로 아는데 혹시 채팅방이 저장되지 않게 하는 기능이 있나요?",kor
691,F493167107b3u,user,Yc845449ac87m,2021-01-20 13:35:44,"안녕하세요, 블랙보드 상에서 학습자들의 온라인 출결상황을 파악하는 탭이 분명 있었는데.. 오늘 보니 아무리 찾아봐도 보이지를 않네요 ㅠㅠ 어디로 가야 학습자들이 동영상 강의를 제때 수강했는지 확인할 수 있을까요?",kor
707,I6f1385307b8g,user,Ma033750a9efz,2021-01-20 13:58:37,인권과 성평등 교육 3단계 이수증 받으려고 하는데,kor
726,Xb46986907bcq,user,K7d3483107b6g,2021-01-20 14:16:34,안녕하세요. 로그인이 되지 않아서 문의드립니다.,kor
736,F931957507beq,user,G8a5394107bea,2021-01-20 14:24:50,"캐쉬를 삭제를 하고 다시 로그인을 시도 했는데, 똑같이 sign on 오류라고 뜹니다..",kor
784,L9f9689207c1t,user,R543768571cao,2021-01-20 14:35:52,2020 법정의무및교내권장교육 을 퀴즈까지다이수했습니다 그다음 수료증은어떻게받나요 대학원생입니다,kor
795,B9a2341507c2g,user,R543768571cao,2021-01-20 14:42:09,쿠카이브에 어디있는지 알수있을까요 ?... . . .법정의무및 교내권장교육수료증이요,kor
826,R6b9942307c2j,user,Q52501914756x,2021-01-20 14:42:16,콜라보레이트 녹화물은 언제까지 저장되나요?,kor
837,Iff1889207c3c,user,S4070616a8e9f,2021-01-20 14:45:43,교육 이수 완료 했는데요,kor
874,F676510108cfs,user,Pa39925008cdi,2021-01-21 09:47:29,학부계정으로 로그인을 하던 중 오류가 나서 계속 오류메세지만 나오고 있습니다. 확인을 부탁드립니다.,kor
877,Md97275308e9y,user,M8164735a392m,2021-01-21 11:41:51,블랙보드 과제에 한글 pdf를 같이 첨부해서 올릴경우 교수님께서 분반학생 일괄다운로드 버튼을 누르면 한글 pdf둘다 제출한 학생꺼는 다운이 안되나요?? 과제란에 들어가보면 한글파일이 먼저뜨고 pdf파일은 따로 또 눌러야되긴하는데 교수님입장에선 어떻게되나요,kor
897,Q95360780e25j,user,Q52501914756x,2021-01-25 10:58:07,학생들이 제출한 과제물 및 시험을 교수자가 일괄 다운로드하여 출력할 수 있나요? 어떤 방법으로 일괄 다운로드 하나요?,kor
904,X09869840f76h,user,A5a120874c45g,2021-01-26 10:53:14,"안녕하세요. 교양교육원 오연경입니다. 지난 학기 자유정의진리 전체 분반(140여 개 분반)에 퀴클리로 이메일 보내기를 하고 싶은데요. (1) 전체 코스에 등록되어 있는 자정진 공용 아이디가 포털에는 등록되어 있지 않은데, 그러면 메일을 보낼 수 없나요? (2) 이메일에 홍보 이미지를 삽입하고 싶은데 어떻게 해야 하나요?",kor
914,B46635010fc1d,user,Xad84257a902u,2021-01-26 16:16:52,안녕하세요. 온라인 강의에서 제 출석에 대한 데이터를 확인하려면 어떻게 해야하나요?,kor
924,Deb2234010bei,user,Wea6717510b1t,2021-01-27 10:14:58,안녕하세요 혹시 2021년 2월 졸업예정자는 졸업 후에도 블랙보드 이용이 가능한가요? (지난 학기에 들었던 수업 녹화영상 등을 시청하려고 합니다) 혹시 졸업 후 이용이 불가능하다면 이용종료시점이 언제인지도 문의드립니다. 감사합니다.,kor
927,F547537810f1o,user,S1545599c8b0h,2021-01-27 13:53:48,코스생성 후 교육영상을 업로드하고 있습니다.,kor
940,P0f4368910f2c,user,Qcf7972010f2s,2021-01-27 13:56:33,현재 이 화면에 업로드 10%에서 멈춰진 상태입니다.,kor
943,E9a20061116fr,user,Pfd35047ab92i,2021-01-27 22:48:02,유혜정 이메일,kor
946,P73712621253f,user,Qb363260b1ead,2021-01-28 15:04:48,온라인 기말기험 내용이 보이지 않습니다. 3시에 오픈이라 했는데 아무것도 없네요...,kor
959,Xaa890611255k,user,Q6a72443a8f2o,2021-01-28 15:12:40,세종캠퍼스 겨울학기 외국어 시험이 뜨질 않습니다~,kor
968,Pb39227513act,user,N9c630784b8cd,2021-01-29 15:32:53,제가 2020년 법정의무 및 교내권장교육 08분반에 이미 등록되어 있는 것을 모르고 실수로 블랙보드 안내 페이지에서 14분반에도 등록해버렸습니다. 이 경우에는 두 분반 모두 수업을 들어야 이수 인정이 되나요? 아니면 둘 중 한 분반의 수업만 들어도 인정이 되나요?,kor
972,Oe6789121626e,user,Wc4549991622q,2021-01-31 12:38:14,블랙보드가 로그인되지 않습니다,kor
974,Adb17254162fi,user,Oa815233162fr,2021-01-31 13:17:48,너 바보지?,kor
978,E42176401665r,user,Pe7845694c73l,2021-01-31 17:13:30,3단계 과정에서 2020 인권과 성평등 교육 이수내역 인증을 하려고 하면 계속 오류 화면이 나와요...!,kor
983,Ub6359371673s,user,N1c20088a8dak,2021-01-31 18:06:57,ㅇ,kor
987,Td874646d059w,user,Xa0343014f21y,2021-02-09 18:54:38,청강,kor
992,S4a85383d2fbx,user,P9c897244c4bu,2021-02-17 13:20:48,연구윤리,kor
1004,X9b927871637n,user,B6d449791637e,2021-02-07 17:21:11,안녕하세요.,kor
1007,D1d985541663m,user,Pe7845694c73l,2021-02-22 19:24:52,2020 법정의무 및 교내권장 교육에서 1단계인 인권과 성평등 교육 그리고 장애인식 개선 교육역시 완료했는데 3단계인 연구 윤리 교육이 활성화되지 않습니다..! 방법은 없나요?,kor
1017,T88568331771f,user,D3d32148596bl,2021-02-01 12:13:58,[학생] 2020년 법정의무 및 교내권장 교육 - 11분반 - 인권과 성평등(4대 폭력 예방 교육) - 이수내역인증 오류,kor
1019,H2715714179cl,user,Q52501914756x,2021-02-01 15:17:01,"시험 채점 시 각 학생의 답안에 대한 피드백을 교수자만 확인할 수 있는 방법이 있나요? 논술식 시험이고, 학생들에게 공개하는 것을 원하지 않는다고 하셨습니다.",kor
1034,P0e9507218a2h,user,H498952718a2h,2021-02-02 09:54:49,안녕하세요 방금 전화드린 이지영 조교라고 합니다. zoom에 있는 polling 기능 설문조사 기능이 학교에서 막아뒀는지 변경이 안되는듯합니다.,kor
1047,F7f9884218cfb,user,D4e629314b70f,2021-02-02 13:07:15,"인권과 성평등 교육을 이수했는데(영상 모두 보고, 퀴즈풀기) 거의 1주일이 지났는데도 포털에 이수내역이 뜨질 않아요ㅠㅠ 어느 부서에 전화를 해보면 될까요?",kor
1057,D62729491a26y,user,Hb2158864da2a,2021-02-03 13:26:41,실수로 법정의무 및 교내권장 교육을 두 개 신청하게 됐는데 하나 삭제?가 가능할까요? 아니면 그냥 하나로만 수강하면 되나요?,kor
1064,P59513891a64e,user,Rac69895014bp,2021-02-03 17:55:05,교육 수료증 발급 가능한가요?,kor
1069,B96892491ba9f,user,Eb1725911ba8f,2021-02-04 17:01:01,안녕하세요?,kor
1078,U74551291cebf,user,Ua8605371ceav,2021-02-05 15:52:12,참고: 오류 ID는 c8d5a27d-703b-4379-ab33-95c7bb782755.,kor
1082,K1d681681e24l,user,B0c902041e24n,2021-02-06 14:09:00,로그인 실패,kor
1086,O184003120c3s,user,Nb16130820c3e,2021-02-08 13:54:17,안녕하세요! 실시간 강의용 솔루션 관련 워크숍 들으려고 하는데 어딜 들어가야될지 몰라 문의드립니다!,kor
1094,Lf34510220cay,user,Caa362451f97a,2021-02-08 14:21:44,콜라보레이트에서 학생들에게 해당메뉴 공개 설정은 어떻게 하나요?,kor
1147,Xdd4745920ddp,user,G2f119704c9cm,2021-02-08 15:44:38,"안녕하세요. 교양교육원 염인수입니다. QWICKLY 들어가보니 2월 1일로 라이센스가 만료되었다고 뜨는데요, 언제 복구되는지 알 수 있을까요?",kor
1153,J1b1356521eeq,user,C4d943261d41z,2021-02-09 11:07:24,안녕하세요,kor
1157,S1b31646222er,user,Oa829774487fz,2021-02-09 15:42:37,안녕하세요. 2021 1학기 과목에 대해 여쭤보고싶은게 있습니다.,kor
1181,P5c64708233aw,user,Ga122085233aw,2021-02-10 10:51:46,안녕하세요 저는 한국인 학생인데요 외국인 친구가 불러서 왔습니다,kor
1197,Q4488966233df,user,Zc439014233co,2021-02-10 10:56:29,안녕하세요 kulms.korea.ac.kr 접속 관련해서 문의드립니다,kor
1208,Z9516577233df,user,H5c13122233df,2021-02-10 10:57:03,감사합니다!,kor
1244,N4e22797233eu,user,Af010076233el,2021-02-10 11:00:28,방금전에 로그인이 안된다고 했었는데,kor
1270,T9c354002340m,user,L2934252233da,2021-02-10 11:11:07,안녕하세요. 2013년도 졸업생입니다. 로그인이 안되는데 혹시 졸업생은 예전 수강과목 자료를 확인하는 것이 불가능한지요? 오류 코드는 0e86307a-63ac-4546-aff1-a479cafa0f2c 라고 뜹니다.,kor
1279,Nf298603235eb,user,Q9e5605519a5i,2021-02-10 13:16:43,혹시 쿠카이브 관련 질문도 받나요,kor
1291,Kd6596282378o,user,Taf34992bbc0g,2021-02-10 15:09:50,금주 진행한 LMS 워크숍의 동영상을 추후 볼수 있을까요? 진행이 조금 빨라서 시간을 내서  step by step 따라 해보려고 합니다.,kor
1295,D9326053277ae,user,B63714614c3eq,2021-02-13 16:05:25,안녕하세요,kor
1312,Y4b5774328b3a,user,U0a17978c9cev,2021-02-14 14:21:34,동영상 올리기,kor
1315,F67597032a01l,user,Obf419062a00s,2021-02-15 14:05:55,고려대 포탈에서 등록금 고지서 출력하려면 “장기간 사용하지 않아 접속이 끊깁디다”메시지 때문에 접근 자체가 어렵습니다,kor
1341,O4f135412b28h,user,Ff5973992b27q,2021-02-16 11:05:07,안녕하세요,kor
1354,Ga0852532b65o,user,V82972094c4cz,2021-02-16 15:25:32,"안녕하세요!
zoom으로 실시간 온라인 수업을 진행할 시 출석체크 기능이 있나요?",kor
1360,H19555382c9cu,user,V33164632c80i,2021-02-17 13:34:33,안녕하세요 컴퓨터 융합소프트웨어학과 조교수 김민호입니다,kor
1381,O6a286052ccay,user,Y0469227a8f8s,2021-02-17 16:51:20,법정 의무교육에 대해 궁금한 점이 있는데 어디로 문의드리면 되나요?,kor
1391,T42351912f0fh,user,Oc3449554c4au,2021-02-19 10:09:49,컴퓨터학과 정연돈 교수입니다,kor
1407,Tb2540742f39r,user,Fac795132f39e,2021-02-19 13:09:23,안녕하세요,kor
1412,L67640272f3be,user,I107430848fap,2021-02-19 13:14:40,가나다,kor
1414,Cfa588922f40i,user,Z9997908a946y,2021-02-19 13:38:35,"안녕하세요,",kor
1423,O8e410912f5fm,user,P26145584c62t,2021-02-19 15:47:38,안녕하세요~ 블랙보드에 강의계획안이 1페이지만 표시되는데요 나머지 정보는 어떻게 보이게 할 수 있나요?,kor
1438,U58140673204k,user,I425833812bbe,2021-02-21 15:59:58,제가 이번에 복학하는 학생인데 온라인 강의는 처음이라서,kor
1447,Ga2848103284r,user,A22949834873a,2021-02-22 01:06:06,크롬으로 블랙보드 이용중인데 첨부파일 다운로드를 누르면 다운되지 않아요ㅜ어떻게 해야하나요,kor
1454,J97962143337v,user,A4d798164d8eh,2021-02-22 13:48:04,전화를 해봤는데 학부는 원래 안듣는 거라고 하는데 ㅠㅠ,kor
1459,M7e481763341g,user,Me616648d6afe,2021-02-22 14:28:40,안녕하세요,kor
1467,F9284107342fj,user,Sb7971904c3fl,2021-02-23 07:28:09,청강생 등록을 했는데 수강생 명단에 나타나지 않아요. 청강생등록이 된건가요? 어디에서 확인하죠?,kor
1471,H8837099345fr,user,Z85681753f97v,2021-02-23 10:51:20,"안녕하세요, 학부 수업 조교입니다. 개강 초기에 청강생 등록을 하려면 
[블랙보드>사용자등록>학생 검색 및 학습자로 등록]
하면 되는 건가요??",kor
1475,E07581843474m,user,Ffb950831799k,2021-02-23 12:19:14,이전에 만들어 놓은 자료들이 없어졌습니다.,kor
1492,P0162554348dd,user,Caa362451f97a,2021-02-23 14:07:26,강의자료를 주차별로 올리려는데 상위 폴더로 포함시켜서 정리하려면 어떻게 하나요?,kor
1537,B4d5146234a4k,user,S8264554ec56z,2021-02-23 15:43:32,"이번학기 군휴학 후 복학할려고 하는데, 혹시 온라인 강의 수강은 어떤식으로 진행되는지 사용 방법이 어디 올라와 있을까요?",kor
1568,Lc05459734a8l,user,Ad14619034a6y,2021-02-23 16:03:01,시간표출력이 안되는데 시간표를 어디서 조회할 수 있을까요? ㅎㅎ,kor
1586,E3e3331035a7l,user,Laf70435a8c8y,2021-02-24 10:09:41,안녕하세요,kor
1602,F235536935d5c,user,T8d993474b91y,2021-02-24 13:27:54,질문 올렸었는데 제가 너무 늦게 확인한건지 날라갔네요ㅠ 제가 줌 비밀번호를 까먹어서 바꾸고 싶은데 도메인의 허락을 받아야 한다고 떠서요... 어떻게 하는게 좋을까요?,kor
1609,Na65422935f2x,user,O937074135f2x,2021-02-24 15:31:00,"안녕하세요 신입생인데요. 온라인강의 솔루션 워크숍을 내일 듣고 싶은데, 링크 좀 보내주실 수 있으실까요",kor
1616,I75614803603g,user,G6d668820e6bl,2021-02-24 16:41:08,안녕하세요 대학원 수업관련해서 문의드립니다,kor
1642,X3b806493604k,user,I2f50238bdafl,2021-02-24 16:45:05,announcement에서 파일을 어떻게 첨부하나요?,kor
1649,S58795713622t,user,I8f30237349fx,2021-02-24 18:54:39,안녕 테스트,kor
1651,T0b628673635a,user,Q57919115b2fn,2021-02-24 20:15:00,법정의무 및 교내권장교육에 대한 문의드립니다. 2단계 교육퀴즈까지 과목별로 모두 완료되었는데(채점완료) 3단계가 활성화되지 않습니다.,kor
1667,F32420703647k,user,Caa362451f97a,2021-02-24 21:32:56,콜라보레이트로 수업진행하려고 하는데 콘텐츠공유에서 어플리케이션/화면공유를 선택한 후 공유하기를 누르면 화면이 마치 거울 처럼 큰화면부터 작은화면이 수업이 겹쳐 나타나는데 어떻게 해결해야 하나요?,kor
1682,N1b8204436fbx,user,F7257135a8ccx,2021-02-25 10:19:11,안녕하세요. 이번학기 ta를 하게된 대학원생입니다. 교수님께서 2명의 학생을 청강생으로 등록하라고 하셨는데 블랙보드에서 어떻게 등록하나요?,kor
1689,A42245853708o,user,B4e286664cb1t,2021-02-25 11:15:27,안녀하십니까? 2020년 2학기 대학원 제품디자인수업에 들어가 강사 한분을 학생으로 참여 하여 그분과 테스트를 해보려 하는데 이미 지난 강의지만 그분 교번을 넣고 등록을 하였는데 확인 가능한가요? 강사 염성업 교번 316803입니다.,kor
1691,G75933243727m,user,V01709224c46z,2021-02-25 13:30:31,안녕하세요. 문의드릴 사항이 있어 연락드립니다. 21-1학기 학교현장실습 5개 강의에 교수님들께서 공동 교수자로 저를 등록을 하셨습니다. 저번 주에는 21-1학기 과목들이 표시되었지만 지금은 보이지 않아 연락드립니다.,kor
1704,E97386223730n,user,B1b967693725w,2021-02-25 14:05:05,안녕하세요,kor
1741,I00482753742l,user,H12995743740s,2021-02-25 15:22:57,21번 신입생이 블랙보드 이용 하려면 어떻게 해야하나요??,kor
1746,L72715773778m,user,V44335193777j,2021-02-25 19:15:44,CSRF token notfound 해결방법이뭔가요ㅠㅠ,kor
1749,D32292663780f,user,A5a120874c45g,2021-02-25 19:49:08,"현재 포털, 블랙보드, 커먼즈 모두 연결이 안 되는 것 맞는지요?",kor
1754,Lb3600053782o,user,Z8d256933782v,2021-02-25 20:43:42,언제쯤 복구되나요?,kor
1757,Bb2290273783z,user,A5a120874c45g,2021-02-25 20:01:56,네 늦은 시간에 빠르게 답 주셔서 감사합니다. 건강하세요:),kor
1759,T947508437c7t,user,Ba997957f45cf,2021-02-26 00:49:47,연구윤리는 없는건가요?,kor
1762,Ycb47222384ck,user,T6222831384cf,2021-02-26 10:19:19,로그인 오류,kor
1777,Hd6164793859a,user,N76886353858r,2021-02-26 11:12:36,"안녕하세요. 저는 지금 대학원생 신분으로 이번 학기 조교를 맞게되었습니다. 근데, 조교를 해야하는 시간과 제가 들어야할 수업 시간이 겹치는데,",kor
1793,Hcb981363873w,user,Z1b50304a8f2z,2021-02-26 13:05:34,안녕하세요 대학생에서 대학원생이 되면 블랙보드는 어떻게 로그인을 해야 대학원 수업공지사항을 볼수있을까요?,kor
